sim_day;cases_new;cases_total;deaths_new;deaths_total
14;14;55;0;0
15;11;66;0;0
16;21;87;0;0
17;37;124;0;0
18;31;155;0;0
19;48;203;0;0
20;65;268;0;0
21;96;364;0;0
22;132;496;0;0
23;138;634;1;1
24;121;755;0;1
25;139;894;0;1
26;160;1054;0;1
27;193;1247;0;1
28;157;1404;0;1
29;141;1545;1;2
30;144;1689;1;3
31;137;1826;1;4
32;157;1983;4;8
33;149;2132;2;10
34;141;2273;3;13
35;149;2422;5;18
36;110;2532;1;19
37;134;2666;5;24
38;96;2762;5;29
39;191;2953;4;33
40;140;3093;7;40
41;130;3223;14;54
42;144;3367;15;69
43;136;3503;8;77
44;179;3682;12;89
45;134;3816;9;98
46;148;3964;5;103
47;138;4102;13;116
48;214;4316;5;121
49;161;4477;9;130
50;194;4671;12;142
51;207;4878;7;149
52;198;5076;11;160
53;208;5284;12;172
54;185;5469;16;188
55;182;5651;5;193
56;245;5896;13;206
57;224;6120;9;215
58;349;6469;10;225
59;228;6697;10;235
60;233;6930;9;244
61;287;7217;10;254
62;289;7506;15;269
63;325;7831;11;280
64;369;8200;18;298
65;364;8564;11;309
66;423;8987;13;322
67;355;9342;21;343
68;466;9808;26;369
69;688;10496;13;382
70;570;11066;22;404
71;515;11581;19;423
72;649;12230;21;444
73;764;12994;20;464
74;769;13763;24;488
75;668;14431;27;515
76;705;15136;21;536
77;727;15863;19;555
78;1020;16883;19;574
79;767;17650;32;606
80;877;18527;13;619
81;923;19450;14;633
82;910;20360;21;654
83;1075;21435;25;679
84;1044;22479;19;698
85;1120;23599;25;723
86;1262;24861;28;751
87;1222;26083;31;782
88;1514;27597;31;813
89;1252;28849;28;841
90;1370;30219;42;883
91;1159;31378;42;925
92;1168;32546;41;966
93;1437;33983;28;994
94;1324;35307;48;1042
95;1355;36662;35;1077
96;1527;38189;41;1118
97;1513;39702;49;1167
98;1515;41217;52;1219
99;1280;42497;47;1266
100;2470;44967;52;1318
101;1784;46751;58;1376
102;1956;48707;81;1457
103;1775;50482;63;1520
104;2373;52855;77;1597
105;2228;55083;65;1662
106;1771;56854;75;1737
107;2631;59485;76;1813
108;2488;61973;84;1897
109;3150;65123;73;1970
110;2517;67640;80;2050
111;2898;70538;82;2132
112;2550;73088;84;2216
113;2356;75444;117;2333
114;2969;78413;103;2436
115;3673;82086;113;2549
116;3586;85672;109;2658
117;3866;89538;129;2787
118;3987;93525;114;2901
119;4543;98068;116;3017
120;3042;101110;142;3159
121;3516;104626;141;3300
122;4639;109265;133;3433
123;4168;113433;147;3580
124;4911;118344;141;3721
125;5092;123436;140;3861
126;4600;128036;148;4009
127;4314;132350;135;4144
128;4195;136545;152;4296
129;5889;142434;157;4453
130;7553;149987;151;4604
131;5815;155802;173;4777
132;6199;162001;184;4961
133;5991;167992;152;5113
134;5735;173727;179;5292
135;7168;180895;201;5493
136;6628;187523;218;5711
137;6996;194519;202;5913
138;7334;201853;219;6132
139;9006;210859;213;6345
140;6710;217569;224;6569
141;6524;224093;218;6787
142;8572;232665;266;7053
143;8303;240968;234;7287
144;8294;249262;252;7539
145;8738;258000;256;7795
146;8188;266188;300;8095
147;7347;273535;275;8370
148;6695;280230;265;8635
149;7985;288215;269;8904
150;8233;296448;333;9237
151;8916;305364;311;9548
152;9447;314811;315;9863
153;12600;327411;321;10184
154;10194;337605;301;10485
155;7731;345336;317;10802
156;11062;356398;337;11139
157;9307;365705;336;11475
158;9370;375075;350;11825
159;7889;382964;377;12202
160;8855;391819;354;12556
161;10050;401869;321;12877
162;7694;409563;314;13191
163;9367;418930;366;13557
164;8766;427696;316;13873
165;8730;436426;328;14201
166;9036;445462;340;14541
167;6894;452356;348;14889
168;7913;460269;378;15267
169;7041;467310;339;15606
170;10085;477395;323;15929
171;7757;485152;346;16275
172;7889;493041;297;16572
173;7122;500163;343;16915
174;7460;507623;293;17208
175;6898;514521;302;17510
176;6397;520918;297;17807
177;6734;527652;293;18100
178;8041;535693;313;18413
179;8356;544049;331;18744
180;9524;553573;291;19035
181;7694;561267;306;19341
182;5765;567032;274;19615
183;5182;572214;270;19885
184;6507;578721;290;20175
185;6600;585321;291;20466
186;6978;592299;258;20724
187;6749;599048;303;21027
188;6212;605260;291;21318
189;5422;610682;270;21588
190;5186;615868;214;21802
191;7217;623085;255;22057
192;7321;630406;250;22307
193;5804;636210;247;22554
194;5765;641975;239;22793
195;5801;647776;248;23041
196;5545;653321;233;23274
197;5071;658392;234;23508
198;6913;665305;234;23742
199;6501;671806;232;23974
200;6374;678180;208;24182
201;6581;684761;218;24400
202;5647;690408;219;24619
203;4889;695297;205;24824
204;4188;699485;202;25026
205;6191;705676;197;25223
206;5789;711465;192;25415
207;5325;716790;207;25622
208;5633;722423;200;25822
209;5709;728132;177;25999
210;4708;732840;204;26203
211;5052;737892;159;26362
212;5322;743214;212;26574
213;5871;749085;191;26765
214;6479;755564;172;26937
215;6632;762196;172;27109
216;6943;769139;174;27283
217;4700;773839;191;27474
218;4675;778514;192;27666
219;8035;786549;198;27864
220;7462;794011;189;28053
221;7765;801776;184;28237
222;8662;810438;197;28434
223;6477;816915;198;28632
224;5833;822748;169;28801
225;4737;827485;180;28981
226;7163;834648;174;29155
227;6132;840780;185;29340
228;5576;846356;158;29498
229;6395;852751;166;29664
230;6206;858957;166;29830
231;6407;865364;184;30014
232;5634;870998;189;30203
233;5808;876806;176;30379
234;7016;883822;177;30556
235;5792;889614;155;30711
236;7071;896685;170;30881
